from,to,relation,time,weight
as,foodspring,1,1,"2,333"
as,foodspring,1,2,1
as,foodspring,1,3,"1,833"
as,foodspring,1,4,2
as,puma,1,1,"0,667"
as,puma,1,2,1
as,puma,1,3,"1,167"
as,puma,1,4,"0,5"
as,bvb,1,1,0
as,bvb,1,2,0
as,bvb,1,3,"0,167"
as,bvb,1,4,0
as,mh,1,1,0
as,mh,1,2,0
as,mh,1,3,"0,167"
as,mh,1,4,0
as,unique,1,1,0
as,unique,1,2,0
as,unique,1,3,"0,167"
as,unique,1,4,0
as,honor,1,1,1
as,honor,1,2,1
as,honor,1,3,"0,833"
as,honor,1,4,"1,5"
as,dc,1,1,0
as,dc,1,2,0
as,dc,1,3,0
as,dc,1,4,"0,5"
as,hf,1,1,"0,667"
as,hf,1,2,0
as,hf,1,3,"0,167"
as,hf,1,4,"0,5"
as,ehfk,5,1,0
as,ehfk,5,2,0
as,ehfk,5,3,0
as,ehfk,5,4,"0,5"
as,bettco,1,1,0
as,bettco,1,2,0
as,bettco,1,3,"0,167"
as,bettco,1,4,0
as,ebhv,1,1,0
as,ebhv,1,2,0
as,ebhv,1,3,"0,667"
as,ebhv,1,4,0
as,sugardad,1,1,0
as,sugardad,1,2,0
as,sugardad,1,3,"0,167"
as,sugardad,1,4,0
as,mm,5,1,0
as,mm,5,2,0
as,mm,5,3,0
as,mm,5,4,"0,5"
as,lk,5,1,0
as,lk,5,2,0
as,lk,5,3,"0,167"
as,lk,5,4,0
em,gymshark,1,1,"7,666"
em,gymshark,1,2,7
em,gymshark,1,3,"5,822"
em,gymshark,1,4,"6,5"
em,gtrain,1,1,"4,333"
em,gtrain,1,2,6
em,gtrain,1,3,"4,333"
em,gtrain,1,4,4
em,gwomen,1,1,7
em,gwomen,1,2,7
em,gwomen,1,3,"5,5"
em,gwomen,1,4,5
em,nu3,1,1,2
em,nu3,1,2,2
em,nu3,1,3,2
em,nu3,1,4,"2,5"
em,ak,2,1,"1,666"
em,ak,2,2,1
em,ak,2,3,"1,333"
em,ak,2,4,3
em,havanero,2,1,"0,666"
em,havanero,2,4,"0,5"
em,waldorf,1,1,"0,333"
em,dubai,1,1,"0,333"
em,jo,2,1,"0,333"
em,douglasc,1,1,"0,333"
em,secretslanzarote,1,1,"0,666"
em,newsha,1,1,"0,333"
em,holdstrong,5,2,1
em,holdstrong,5,4,1
em,placetob,1,3,"0,166"
em,okuhotels,1,3,"0,333"
em,crossfitflensburg,5,3,"0,166"
em,rexona,1,3,"0,333"
em,transformation,5,3,"0,166"
em,fit,5,3,"0,166"
em,fitfemalesclub,5,3,"0,166"
em,plnts,1,3,"0,166"
em,babyplnts,1,3,"0,166"
em,porschegoeppingen,1,3,"0,166"
em,porschenewsroom,1,3,"0,166"
em,sante,1,3,"0,166"
em,sandroparis,5,3,"0,166"
em,ferrari,5,3,"0,166"
em,fitjeans,5,3,"0,166"
em,networkpr,5,3,"0,166"
em,fab4media,5,3,"0,166"
em,makeupmaddeline,2,3,"0,166"
em,ws,2,3,"0,166"
em,doering,5,4,"0,5"
em,gr,2,4,"0,5"
em,nintendo,5,4,"0,5"
em,dp,2,4,"0,5"
em,therabody,1,4,"0,5"
em,optarise,1,4,"0,5"
tg,nl,2,1,1
tg,nl,2,2,1
tg,nl,2,3,"1,333"
tg,nl,2,4,3
tg,gymshark,1,1,"6,3330"
tg,gymshark,1,2,7
tg,gymshark,1,3,"2,666"
tg,gymshark,1,4,3
tg,pm,1,1,1
tg,olakala,1,3,2
tg,olakala,1,4,"2,5"
fh,fh,1,1,1
tg,mb,2,1,1
tg,kw,2,1,"0,666"
tg,kw,2,3,"0,333"
tg,sh,2,3,"0,166"
tg,ww,1,3,"0,166"
tg,rl,1,3,"0,166"
tg,jt,1,3,"0,166"
tg,ni,1,3,"0,166"
tg,blinkist,1,1,"2,666"
tg,blinkist,1,2,2
tg,blinkist,1,3,2
tg,blinkist,1,4,"1,5"
tg,rb,2,3,"0,166"
tg,ft,1,3,"0,166"
tg,mp,1,3,"0,166"
tg,therabody,1,3,"0,5"
tg,therabody,1,4,2
tg,st,2,4,"0,5"
tg,eb,2,3,"0,166"
tg,ms,1,4,"0,5"
tg,zecplus,1,1,3
tg,zecplus,1,2,4
tg,zecplus,1,3,"1,5"
olakala,gin,4,0,0
tg,gin,4,1,"5,333"
tg,gin,4,2,6
tg,gin,4,3,3
tg,gin,4,4,"2,5"
ldp,shaperepublic,1,3,"1,2"
ldp,shaperepublic,1,4,"1,5"
ldp,t,1,4,1
ldp,eis,1,4,1
ldp,gymondo,1,1,"0,7"
ldp,gymondo,1,2,1
ldp,gymondo,1,4,"0,5"
ldp,melina,5,3,"0,2"
ldp,eb,2,3,"0,2"
ldp,jd,2,3,"0,2"
naturallyp,pr,4,4,"0,5"
naturallyp,forbes,3,4,"0,5"
ehome,em,4,3,"0,333"
ehome,em,4,4,2
ehome,plnts,1,3,1
ehome,plnts,1,4,2
ehome,babyplnts,1,3,1
ehome,babyplnts,1,4,2
ehome,havanero,2,3,"0,166"
ehome,westwing,1,3,"1,166"
ehome,westwing,1,4,3
ehome,bergamotte,1,3,"0,166"
ehome,bergamotte,1,4,"0,5"
ehome,maisondm,1,3,"0,166"
ehome,maisondm,1,4,"0,5"
ehome,milles,5,3,"0,166"
ehome,hesse,1,3,"0,333"
ehome,hesse,1,4,"0,5"
ehome,desenio,1,3,"0,5"
ehome,desenio,1,4,1
ehome,ikea,5,3,"0,333"
ehome,ikea,5,4,1
ehome,avamay,1,3,"0,333"
ehome,avamay,1,4,"0,5"
ehome,botanicalbear,1,3,"0,333"
ehome,botanicalbear,1,4,1
ehome,fermliving,1,3,"0,166"
ehome,fermliving,1,4,"1,5"
ehome,vogue,5,3,"0,166"
ehome,dior,5,3,"0,166"
ehome,chanel,5,3,"0,166"
ehome,lmonstera,5,3,"0,166"
ehome,zarahome,1,3,"0,166"
ehome,dogsinthecity,5,3,"0,166"
ehome,porta,1,3,"0,166"
ehome,amonstera,5,4,1
ehome,vmonstera,5,4,"0,5"
ehome,byrydens,1,4,"0,5"
ehome,dehner,5,4,"0,5"
ehome,dyson,1,4,"0,5"
ehome,amazon,5,4,"0,5"
ehome,bauhaus,5,4,"0,5"
ehome,connox,1,4,"0,5"
ehome,halfmoongang,5,4,"0,5"
ehome,aroids,1,4,1
ehome,siemens,5,4,"0,5"
ehome,crea,1,4,"0,5"
pamgoesnuts,pr,4,3,"0,167"
pamgoesnuts,naturallyp,4,1,0
pamgoesnuts,naturallyp,4,2,0
pamgoesnuts,naturallyp,4,3,0
pamgoesnuts,naturallyp,4,4,2
pamgoesnuts,justspices,1,1,"0,333"
pamgoesnuts,justspices,1,2,1
pamgoesnuts,justspices,1,3,"0,333"
pamgoesnuts,justspices,1,4,1
pamgoesnuts,alno,1,1,0
pamgoesnuts,alno,1,2,0
pamgoesnuts,alno,1,3,"0,167"
pamgoesnuts,alno,1,4,"0,5"
pamgoesnuts,kitchenaid,1,1,0
pamgoesnuts,kitchenaid,1,2,0
pamgoesnuts,kitchenaid,1,3,"0,333"
pamgoesnuts,kitchenaid,1,4,"0,5"
pamgoesnuts,foodist,1,1,0
pamgoesnuts,foodist,1,2,0
pamgoesnuts,foodist,1,3,"0,167"
pamgoesnuts,foodist,1,4,0
pamgoesnuts,kaipflaume,1,1,0
pamgoesnuts,kaipflaume,1,2,0
pamgoesnuts,kaipflaume,1,3,"0,167"
pamgoesnuts,kaipflaume,1,4,0
pamgoesnuts,campo,1,1,0
pamgoesnuts,campo,1,2,0
pamgoesnuts,campo,1,3,"0,167"
pamgoesnuts,campo,1,4,0
pamgoesnuts,rainforest,1,1,"0,333"
pamgoesnuts,rainforest,1,2,0
pamgoesnuts,rainforest,1,3,"0,167"
pamgoesnuts,rainforest,1,4,0
pamgoesnuts,bears,1,1,0
pamgoesnuts,bears,1,2,0
pamgoesnuts,bears,1,3,"0,167"
pamgoesnuts,bears,1,4,0
pamgoesnuts,goodness,1,1,"0,333"
pamgoesnuts,goodness,1,2,0
pamgoesnuts,goodness,1,3,0
pamgoesnuts,goodness,1,4,0
pamgoesnuts,maldives,1,1,"0,333"
pamgoesnuts,maldives,1,2,0
pamgoesnuts,maldives,1,3,0
pamgoesnuts,maldives,1,4,0
pamgoesnuts,epi,1,1,"0,333"
pamgoesnuts,epi,1,2,0
pamgoesnuts,epi,1,3,0
pamgoesnuts,epi,1,4,0
pamgoesnuts,annanassaft,2,1,0
pamgoesnuts,annanassaft,2,2,0
pamgoesnuts,annanassaft,2,3,0
pamgoesnuts,annanassaft,2,4,"0,5"
pamgoesnuts,lorilistic,5,1,0
pamgoesnuts,lorilistic,5,2,0
pamgoesnuts,lorilistic,5,3,0
pamgoesnuts,lorilistic,5,4,"0,5"
pamgoesnuts,sweetaseli,5,1,0
pamgoesnuts,sweetaseli,5,2,0
pamgoesnuts,sweetaseli,5,3,"0,167"
pamgoesnuts,sweetaseli,5,4,0
pamgoesnuts,lucile,5,1,"0,333"
pamgoesnuts,lucile,5,2,0
pamgoesnuts,lucile,5,3,0
pamgoesnuts,lucile,5,4,0
pamgoesnuts,mg,5,1,"0,333"
pamgoesnuts,mg,5,2,0
pamgoesnuts,mg,5,3,0
pamgoesnuts,mg,5,4,0
pamgoesnuts,km,5,1,"0,333"
pamgoesnuts,km,5,2,0
pamgoesnuts,km,5,3,0
pamgoesnuts,km,5,4,0
pr,annanassaft,2,1,"0,667"
pr,annanassaft,2,3,"1,5"
pr,annanassaft,2,4,1
pr,eds,5,1,"0,667"
pr,burnaboy,5,1,"0,667"
pr,hugel,5,1,"0,333"
pr,nikkivianna,5,3,"0,333"
pr,dubdogz,5,2,1
pr,dualipa,5,2,1
pr,robinschulz,5,2,1
pr,robinschulz,5,3,"0,167"
pr,twentyonepilots,5,2,1
pr,leandrodasilva,5,3,"0,167"
pr,wesalane,5,3,"0,167"
pr,zedd,5,3,"0,333"
pr,jasminethompson,5,3,"0,333"
pr,cibellelevi,5,3,"0,167"
pr,artpvb,5,2,1
pr,danielgraf,5,3,"0,333"
pr,kevinostajewski,5,1,"0,333"
pr,kevinostajewski,5,3,"0,167"
pr,linatesch,5,3,"0,333"
pr,riccardosimonetti,5,3,"0,167"
pr,nilamfarooq,5,3,"0,167"
pr,pumaperformance,1,1,"0,333"
pr,pumaperformance,1,3,"0,1667"
pr,pumawoman,1,3,"0,1667"
pr,pumawoman,1,4,"0,5"
pr,pumasportstyle,1,4,"0,5"
pr,jpb,5,3,"0,167"
pr,myrne,5,3,"0,167"
pr,cymo,5,1,"0,333"
pr,annchristine,5,1,"0,333"
pr,puma,1,1,"0,333"
pr,puma,1,3,"0,833"
pr,puma,1,4,"1,5"
pr,jc,1,1,"0,333"
pr,jc,1,2,1
pr,jc,1,3,"0,333"
pr,jad,1,1,1.333
pr,dr,2,1,2
pr,dr,2,2,2
pr,dr,2,3,"1,333"
pr,dr,2,4,"1,5"
pr,cln,1,3,"0,333"
pr,dap,1,3,"0,167"
pr,douglasc,1,3,"0,167"
pr,douglas,1,4,1
pr,nakd,1,3,"1,833"
pr,calzedonia,1,1,"0,333"
pr,calzedonia,1,3,"1,167"
pr,calzedonia,1,4,"1,5"
pr,naturallyp,4,4,"1,5"
pr,ghd,1,3,"0,333"
pr,nyx,1,3,"0,167"
pr,nyx,1,4,"0,5"
pr,hej,1,1,1
pr,hej,1,3,1
pr,mercedesbenz,5,3,"0,333"
pr,alno,1,4,"0,5"
pr,rainforest,1,3,"0,167"
pr,intimissimi,1,3,"0,667"
pr,intimissimi,1,4,1
pr,tech,1,2,1
pr,sante,1,3,"0,5"
pr,foodist,1,3,"0,333"
pr,foodist,1,4,"0,5"
pr,pamgoesnuts,4,2,1
pr,pamgoesnuts,4,3,"0,167"
pr,zalando,1,4,1
pr,liu,1,1,"0,333"
pr,liu,1,3,"0,167"
pr,juvia,1,3,"0,167"
pr,koziel,1,3,"0,167"
pr,shape,1,1,"0,333"
pr,schaumermal,4,1,"0,667"
pr,schaumermal,4,2,1
pr,schaumermal,4,3,"0,167"
pr,maldives,1,1,"1,667"
pr,wmg,1,1,2
pr,wmg,1,2,6
pr,wmg,1,3,"3,833"
pr,wmg,1,4,3
pr,epidemicsound,4,1,1
pr,epidemicsound,4,2,3
pr,epidemicsound,4,3,"1,833"
pr,epidemicsound,4,4,1
ldp,ct,5,1,"0,3"
ldp,magicmike,5,1,"0,3"
ldp,jokoklaas,5,3,"0,2"
ldp,ekatlevy,2,3,"0,2"
ldp,talina,2,3,"0,2"
havanero,wuwk,5,1,"0,333"
havanero,gymshark,5,1,"0,333"
havanero,gtrain,5,1,"0,333"
havanero,gwomen,5,1,"0,333"
havanero,flum,1,3,"0,333"
