from,to,relation,weight
puma,pr,1,3
jc,pr,1,3
jad,pr,1,2
dr,pr,2,4
cln,pr,1,2
dap,pr,1,1
douglas,pr,1,2
nakd,pr,1,4
calzedonia,pr,1,4
naturallyp,pr,4,2
ghd,pr,1,1
nyx,pr,1,1
hej,pr,1,4
mercedesbenz,pr,1,1
alno,pr,1,1
rainforest,pr,1,1
intimissimi,pr,1,3
tech,pr,1,1
sante,pr,1,2
foodist,pr,1,2
pamgoesnuts,pr,4,2
zalando,pr,1,1
liu,pr,1,1
juvia,pr,1,1
koziel,pr,1,1
shape,pr,1,1
schaumermal,pr,4,2
forbes,pr,3,1
maldives,pr,1,3
wmg,pr,1,6
epidemicsound,pr,99,5
as,foodspring,1,5
foodspring,as,1,5
as,puma,1,4
puma,as,1,4
as,bvb,1,1
bvb,as,1,1
as,mh,1,1
mh,as,1,1
as,unique,1,1
unique,as,1,1
as,honor,1,4
honor,as,1,4
as,dc,1,2
dc,as,1,2
as,hf,1,1
hf,as,1,1
as,ehfk,5,1
as,bettco,1,1
bettco,as,1,1
as,ebhv,1,2
ebhv,as,1,2
as,sugardad,1,1
sugardad,as,1,1
as,mm,5,1
as,lk,5,1
em,gymshark,1,8
em,gtrain,1,7
em,gwomen,1,7
em,nu3,1,5
em,ak,2,5
em,hunde,2,2
em,waldorf,1,1
em,dubai,1,1
em,jo,2,1
em,douglasc,1,1
em,secretslanzarote,1,1
em,newsha,1,1
em,holdstrong,5,1
em,placetob,1,1
em,okuhotels,1,1
em,crossfitflensburg,5,1
em,rexona,1,1
em,transformation,5,1
em,fit,5,1
em,fitfemalesclub,5,1
em,plnts,1,1
em,babyplnts,1,1
em,porschegoeppingen,1,1
em,porschenewsroom,1,1
em,sante,1,1
em,sandroparis,5,1
em,ferrari,5,1
em,fitjeans,5,1
em,networkpr,5,1
em,fab4media,5,1
em,makeupmaddeline,2,1
em,ws,2,1
em,doering,5,1
em,gr,2,1
em,nintendo,5,1
em,dp,2,1
em,therabody,1,1
em,optarise,1,1
gymshark,em,1,8
gtrain,em,1,7
gwomen,em,1,7
nu3,em,1,5
ak,em,2,5
hunde,em,2,2
waldorf,em,1,1
dubai,em,1,1
jo,em,2,1
douglasc,em,1,1
secretslanzarote,em,1,1
newsha,em,1,1
placetob,em,1,1
okuhotels,em,1,1
rexona,em,1,1
plnts,em,1,1
babyplnts,em,1,1
porschegoeppingen,em,1,1
porschenewsroom,em,1,1
sante,em,1,1
makeupmaddeline,em,2,1
ws,em,2,1
gr,em,2,1
dp,em,2,1
therabody,em,1,1
optarise,em,1,1
douglas,douglasc,4,99
porsche,porschegoeppingen,4,99
porsche,porschenewsroom,4,99
gymshark,gtrain,4,99
gymshark,gwomen,4,99
plnts,babyplnts,4,99
douglasc,douglas,4,99
porschegoeppingen,porsche,4,99
porschenewsroom,porsche,4,99
gtrain,gymshark,4,99
gwomen,gymshark,4,99
babyplnts,plnts,4,99
nl,tg,2,4
gymshark,tg,1,6
pm,tg,1,1
olakala,tg,1,4
fh,tg,1,1
mb,tg,2,1
kw,tg,2,2
sh,tg,2,1
ww,tg,1,1
rl,tg,1,1
jt,tg,1,1
ni,tg,1,1
blinkist,tg,1,5
rb,tg,2,1
ft,tg,1,1
mp,tg,1,1
therabody,tg,1,3
st,tg,2,1
eb,tg,2,1
ms,tg,1,1
zecplus,tg,1,5
olakala,gin,4,99
gin,tg,4,6
shaperepublic,ldp,1,4
t,ldp,1,1
eis,ldp,1,1
gymondo,ldp,1,2
melina,ldp,2,1
eb,ldp,2,1
jd,ldp,2,1
pamgoesnuts,pr,4,1
pr,pamgoesnuts,4,1
pamgoesnuts,naturallyp,4,2
naturallyp,pamgoesnuts,4,4
pamgoesnuts,justspices,1,3
justspices,pamgoesnuts,1,3
pamgoesnuts,alno,1,1
alno,pamgoesnuts,1,1
pamgoesnuts,kitchenaidde,1,2
kitchenaidde,pamgoesnuts,1,2
pamgoesnuts,foodist,1,1
foodist,pamgoesnuts,1,1
pamgoesnuts,kaipflaume,1,1
kaipflaume,pamgoesnuts,1,1
pamgoesnuts,campo,1,1
campo,pamgoesnuts,1,1
pamgoesnuts,rainforest,1,1
rainforest,pamgoesnuts,1,1
pamgoesnuts,bears,1,1
bears,pamgoesnuts,1,1
pamgoesnuts,goodness,1,1
goodness,pamgoesnuts,1,1
pamgoesnuts,maldives,1,1
maldives,pamgoesnuts,1,1
pamgoesnuts,epi,1,1
epi,pamgoesnuts,1,1
pamgoesnuts,annanassaft,2,1
pamgoesnuts,lorilistic,5,1
pamgoesnuts,sweetaseli,5,1
pamgoesnuts,lucile,5,1
pamgoesnuts,mg,5,1
pamgoesnuts,km,5,1
em,ehome,4,3
ehome,em,4,3
ehome,plnts,1,4
ehome,babyplnts,1,4
ehome,hunde,2,1
ehome,westwing,1,4
ehome,bergamotte,1,1
ehome,maisondm,1,1
ehome,milles,5,1
ehome,hesse,1,2
ehome,desenio,1,3
ehome,ikea,5,2
ehome,avamay,1,2
ehome,botanicalbear,1,2
ehome,fermliving,1,2
ehome,vogue,5,1
ehome,dior,5,1
ehome,chancel,5,1
ehome,lmonstera,5,1
ehome,zarahome,1,1
ehome,dogsinthecity,5,1
ehome,porta,1,1
ehome,amonstera,5,1
ehome,vmonstera,5,1
ehome,byrydens,1,1
ehome,dehner,5,1
ehome,dyson,1,1
ehome,amazon,5,1
ehome,bauhaus,5,1
ehome,connox,1,1
ehome,halfmoongang,5,1
ehome,aroids,1,1
ehome,siemens,5,1
ehome,crea,1,1
plnts,ehome,1,4
babyplnts,ehome,1,4
hunde,ehome,2,1
westwing,ehome,1,4
bergamotte,ehome,1,1
maisondm,ehome,1,1
hesse,ehome,1,2
desenio,ehome,1,3
avamay,ehome,1,2
botanicalbear,ehome,1,2
fermliving,ehome,1,2
zarahome,ehome,1,1
porta,ehome,1,1
byrydens,ehome,1,1
dyson,ehome,1,1
connox,ehome,1,1
aroids,ehome,1,1
crea,ehome,1,1
pr,annanassaft,2,3
pr,eds,5,1
pr,burnaboy,5,1
pr,hugel,5,1
pr,nikkivianna,5,1
pr,dubdogz,5,1
pr,dualipa,5,1
pr,robinschulz,5,1
pr,twentyonepilots,5,1
pr,leandrodasilva,5,1
pr,wesalane,5,1
pr,zedd,5,1
pr,jasminethompson,5,1
pr,cibellelevi,5,1
pr,artpvb,5,1
pr,danielgraf,5,1
pr,kevinostajewski,5,1
pr,linatesch,5,1
pr,riccardosimonetti,5,1
pr,nilamfarooq,5,1
pr,pumaperformance,1,1
pr,pumawoman,1,1
pr,pumasportstyle,1,1
pr,jpb,5,1
pr,myrne,5,1
pr,cymo,5,1
pr,annchristine,5,1
puma,pumaperformance,4,99
puma,pumawoman,4,99
puma,pumasportstyle,4,99
pumaperformance,puma,4,99
pumawoman,puma,4,99
pumasportstyle,puma,4,99
pr,puma,1,3
pr,jc,1,3
pr,jad,1,2
pr,dr,2,4
pr,cln,1,2
pr,dap,1,1
pr,douglas,1,2
pr,nakd,1,4
pr,calzedonia,1,4
pr,naturallyp,4,2
pr,ghd,1,1
pr,nyx,1,1
pr,hej,1,4
pr,mercedesbenz,5,1
pr,alno,1,1
pr,rainforest,1,1
pr,intimissimi,1,3
pr,tech,1,1
pr,sante,1,2
pr,foodist,1,2
pr,pamgoesnuts,4,2
pr,zalando,1,1
pr,liu,1,1
pr,juvia,1,1
pr,koziel,1,1
pr,shape,1,1
pr,schaumermal,4,2
pr,maldives,1,3
pr,wmg,1,6
pr,epidemicsound,4,5
pr,epidemicsound,4,5
